Date,Category,Amount,Type,UserType,TotalBudget
15-03-2017,Rent,129.31,Expense,college_student,3000
13-03-2017,Rent,77.98,Expense,college_student,3000
10-03-2017,Rent,89.59,Expense,college_student,3000
05-04-2017,Food & Drink,359.6,Expense,college_student,3000
08-04-2017,Food & Drink,457.74,Expense,college_student,3000
11-04-2017,Food & Drink,504.42,Expense,college_student,3000
25-04-2017,Entertainment,120.69,Expense,college_student,3000
11-04-2017,Entertainment,136.79,Expense,college_student,3000
04-04-2017,Entertainment,86.45,Expense,college_student,3000
16-04-2017,Entertainment,86.27,Expense,college_student,3000
15-04-2017,Travel,82.0,Expense,college_student,3000
26-04-2017,Travel,76.61,Expense,college_student,3000
26-04-2017,Travel,122.53,Expense,college_student,3000
24-04-2017,Health & Fitness,106.29,Expense,college_student,3000
18-04-2017,Health & Fitness,112.46,Expense,college_student,3000
24-04-2017,Utilities,87.83,Expense,college_student,3000
03-04-2017,Utilities,86.3,Expense,college_student,3000
14-04-2017,Utilities,102.77,Expense,college_student,3000
20-04-2017,Utilities,124.78,Expense,college_student,3000
04-04-2017,Personal Care,59.18,Expense,college_student,3000
11-04-2017,Personal Care,73.44,Expense,college_student,3000
19-04-2017,Rent,111.11,Expense,college_student,3000
20-04-2017,Rent,151.46,Expense,college_student,3000
08-05-2017,Food & Drink,256.36,Expense,college_student,3000
22-05-2017,Food & Drink,389.41,Expense,college_student,3000
21-05-2017,Food & Drink,353.35,Expense,college_student,3000
26-05-2017,Food & Drink,318.55,Expense,college_student,3000
08-05-2017,Entertainment,192.27,Expense,college_student,3000
27-05-2017,Entertainment,110.78,Expense,college_student,3000
05-05-2017,Entertainment,156.5,Expense,college_student,3000
23-05-2017,Travel,103.37,Expense,college_student,3000
26-05-2017,Travel,84.56,Expense,college_student,3000
26-05-2017,Travel,99.03,Expense,college_student,3000
12-05-2017,Health & Fitness,129.81,Expense,college_student,3000
28-05-2017,Health & Fitness,113.43,Expense,college_student,3000
02-05-2017,Utilities,249.82,Expense,college_student,3000
17-05-2017,Utilities,170.9,Expense,college_student,3000
06-05-2017,Personal Care,61.42,Expense,college_student,3000
28-05-2017,Personal Care,63.96,Expense,college_student,3000
03-05-2017,Rent,186.49,Expense,college_student,3000
06-05-2017,Rent,116.49,Expense,college_student,3000
08-05-2017,Food & Drink,411.93,Expense,college_student,3000
10-05-2017,Food & Drink,373.51,Expense,college_student,3000
11-05-2017,Food & Drink,425.56,Expense,college_student,3000
11-05-2017,Entertainment,93.51,Expense,college_student,3000
10-05-2017,Entertainment,116.84,Expense,college_student,3000
14-05-2017,Entertainment,66.74,Expense,college_student,3000
17-05-2017,Entertainment,93.76,Expense,college_student,3000
21-05-2017,Entertainment,80.15,Expense,college_student,3000
03-05-2017,Travel,157.06,Expense,college_student,3000
28-05-2017,Travel,149.55,Expense,college_student,3000
19-05-2017,Health & Fitness,52.07,Expense,college_student,3000
16-05-2017,Health & Fitness,52.87,Expense,college_student,3000
26-05-2017,Health & Fitness,52.98,Expense,college_student,3000
05-05-2017,Health & Fitness,50.0,Expense,college_student,3000
04-05-2017,Utilities,122.0,Expense,college_student,3000
12-05-2017,Utilities,104.3,Expense,college_student,3000
06-05-2017,Utilities,143.98,Expense,college_student,3000
10-05-2017,Utilities,96.9,Expense,college_student,3000
12-05-2017,Personal Care,50.0,Expense,college_student,3000
05-05-2017,Personal Care,60.65,Expense,college_student,3000
19-05-2017,Personal Care,50.0,Expense,college_student,3000
04-05-2017,Rent,74.82,Expense,college_student,3000
09-05-2017,Rent,67.36,Expense,college_student,3000
11-05-2017,Rent,50.53,Expense,college_student,3000
25-05-2017,Rent,79.21,Expense,college_student,3000
02-05-2017,Rent,77.86,Expense,college_student,3000
10-06-2017,Food & Drink,463.86,Expense,college_student,3000
16-06-2017,Food & Drink,473.9,Expense,college_student,3000
25-06-2017,Entertainment,181.04,Expense,college_student,3000
07-06-2017,Entertainment,164.22,Expense,college_student,3000
28-06-2017,Travel,198.88,Expense,college_student,3000
09-06-2017,Travel,225.01,Expense,college_student,3000
17-06-2017,Health & Fitness,50.0,Expense,college_student,3000
01-06-2017,Health & Fitness,50.0,Expense,college_student,3000
15-06-2017,Health & Fitness,50.0,Expense,college_student,3000
19-06-2017,Utilities,110.57,Expense,college_student,3000
10-06-2017,Utilities,85.8,Expense,college_student,3000
21-06-2017,Utilities,105.66,Expense,college_student,3000
16-06-2017,Utilities,77.39,Expense,college_student,3000
10-06-2017,Utilities,89.23,Expense,college_student,3000
25-06-2017,Personal Care,50.0,Expense,college_student,3000
17-06-2017,Personal Care,50.0,Expense,college_student,3000
07-06-2017,Personal Care,50.0,Expense,college_student,3000
24-06-2017,Personal Care,50.0,Expense,college_student,3000
21-06-2017,Personal Care,50.0,Expense,college_student,3000
10-06-2017,Rent,55.71,Expense,college_student,3000
08-06-2017,Rent,74.92,Expense,college_student,3000
08-06-2017,Rent,65.29,Expense,college_student,3000
11-06-2017,Rent,88.06,Expense,college_student,3000
13-07-2017,Food & Drink,314.52,Expense,college_student,3000
11-07-2017,Food & Drink,228.76,Expense,college_student,3000
22-07-2017,Food & Drink,402.88,Expense,college_student,3000
28-07-2017,Food & Drink,291.19,Expense,college_student,3000
06-07-2017,Entertainment,98.58,Expense,college_student,3000
23-07-2017,Entertainment,138.99,Expense,college_student,3000
17-07-2017,Entertainment,125.01,Expense,college_student,3000
27-07-2017,Entertainment,133.12,Expense,college_student,3000
24-07-2017,Travel,192.87,Expense,college_student,3000
23-07-2017,Travel,146.29,Expense,college_student,3000
07-07-2017,Travel,137.64,Expense,college_student,3000
09-07-2017,Health & Fitness,58.07,Expense,college_student,3000
16-07-2017,Health & Fitness,50.0,Expense,college_student,3000
27-07-2017,Health & Fitness,59.57,Expense,college_student,3000
26-07-2017,Utilities,162.24,Expense,college_student,3000
07-07-2017,Utilities,184.8,Expense,college_student,3000
27-07-2017,Utilities,162.89,Expense,college_student,3000
28-07-2017,Personal Care,50.0,Expense,college_student,3000
09-07-2017,Personal Care,50.0,Expense,college_student,3000
11-07-2017,Personal Care,50.0,Expense,college_student,3000
03-07-2017,Personal Care,50.0,Expense,college_student,3000
24-07-2017,Rent,120.57,Expense,college_student,3000
21-07-2017,Rent,108.48,Expense,college_student,3000
24-07-2017,Rent,90.67,Expense,college_student,3000
07-08-2017,Food & Drink,514.56,Expense,college_student,3000
06-08-2017,Food & Drink,481.61,Expense,college_student,3000
19-08-2017,Food & Drink,315.39,Expense,college_student,3000
01-08-2017,Entertainment,102.76,Expense,college_student,3000
06-08-2017,Entertainment,146.42,Expense,college_student,3000
26-08-2017,Entertainment,129.26,Expense,college_student,3000
03-08-2017,Entertainment,95.5,Expense,college_student,3000
20-08-2017,Travel,141.72,Expense,college_student,3000
20-08-2017,Travel,159.0,Expense,college_student,3000
08-08-2017,Travel,204.17,Expense,college_student,3000
14-08-2017,Health & Fitness,50.0,Expense,college_student,3000
27-08-2017,Health & Fitness,50.0,Expense,college_student,3000
27-08-2017,Health & Fitness,50.0,Expense,college_student,3000
23-08-2017,Health & Fitness,50.0,Expense,college_student,3000
23-08-2017,Health & Fitness,50.0,Expense,college_student,3000
04-08-2017,Utilities,149.67,Expense,college_student,3000
16-08-2017,Utilities,164.35,Expense,college_student,3000
05-08-2017,Utilities,161.59,Expense,college_student,3000
10-08-2017,Personal Care,60.48,Expense,college_student,3000
06-08-2017,Personal Care,60.14,Expense,college_student,3000
05-08-2017,Rent,78.25,Expense,college_student,3000
24-08-2017,Rent,58.5,Expense,college_student,3000
12-08-2017,Rent,90.87,Expense,college_student,3000
28-08-2017,Rent,83.54,Expense,college_student,3000
16-09-2017,Food & Drink,255.11,Expense,college_student,3000
11-09-2017,Food & Drink,222.79,Expense,college_student,3000
01-09-2017,Food & Drink,238.26,Expense,college_student,3000
24-09-2017,Food & Drink,249.01,Expense,college_student,3000
17-09-2017,Food & Drink,264.83,Expense,college_student,3000
06-09-2017,Entertainment,78.17,Expense,college_student,3000
12-09-2017,Entertainment,121.3,Expense,college_student,3000
13-09-2017,Entertainment,112.54,Expense,college_student,3000
26-09-2017,Entertainment,101.68,Expense,college_student,3000
16-09-2017,Entertainment,113.51,Expense,college_student,3000
16-09-2017,Travel,57.79,Expense,college_student,3000
16-09-2017,Travel,67.6,Expense,college_student,3000
24-09-2017,Travel,71.26,Expense,college_student,3000
07-09-2017,Travel,97.94,Expense,college_student,3000
27-09-2017,Health & Fitness,50.0,Expense,college_student,3000
22-09-2017,Health & Fitness,50.0,Expense,college_student,3000
22-09-2017,Health & Fitness,50.0,Expense,college_student,3000
26-09-2017,Health & Fitness,50.0,Expense,college_student,3000
05-09-2017,Health & Fitness,50.0,Expense,college_student,3000
24-09-2017,Utilities,136.12,Expense,college_student,3000
11-09-2017,Utilities,147.35,Expense,college_student,3000
08-09-2017,Utilities,103.37,Expense,college_student,3000
27-09-2017,Utilities,116.74,Expense,college_student,3000
26-09-2017,Personal Care,50.0,Expense,college_student,3000
04-09-2017,Personal Care,53.62,Expense,college_student,3000
01-09-2017,Personal Care,67.37,Expense,college_student,3000
04-09-2017,Rent,157.8,Expense,college_student,3000
09-09-2017,Rent,126.9,Expense,college_student,3000
03-10-2017,Food & Drink,399.18,Expense,college_student,3000
22-10-2017,Food & Drink,224.97,Expense,college_student,3000
10-10-2017,Food & Drink,385.57,Expense,college_student,3000
16-10-2017,Food & Drink,274.18,Expense,college_student,3000
02-10-2017,Food & Drink,293.83,Expense,college_student,3000
23-10-2017,Entertainment,251.2,Expense,college_student,3000
10-10-2017,Entertainment,246.86,Expense,college_student,3000
19-10-2017,Entertainment,259.72,Expense,college_student,3000
28-10-2017,Travel,149.35,Expense,college_student,3000
12-10-2017,Travel,118.51,Expense,college_student,3000
27-10-2017,Health & Fitness,63.16,Expense,college_student,3000
22-10-2017,Health & Fitness,61.33,Expense,college_student,3000
12-10-2017,Health & Fitness,58.6,Expense,college_student,3000
20-10-2017,Utilities,116.32,Expense,college_student,3000
22-10-2017,Utilities,113.24,Expense,college_student,3000
14-10-2017,Utilities,76.81,Expense,college_student,3000
24-10-2017,Utilities,119.65,Expense,college_student,3000
02-10-2017,Utilities,83.46,Expense,college_student,3000
15-10-2017,Personal Care,50.0,Expense,college_student,3000
21-10-2017,Personal Care,50.0,Expense,college_student,3000
19-10-2017,Personal Care,50.0,Expense,college_student,3000
09-10-2017,Personal Care,50.0,Expense,college_student,3000
26-10-2017,Rent,74.38,Expense,college_student,3000
06-10-2017,Rent,50.0,Expense,college_student,3000
07-10-2017,Rent,59.32,Expense,college_student,3000
26-10-2017,Rent,56.59,Expense,college_student,3000
28-10-2017,Rent,74.63,Expense,college_student,3000
01-11-2017,Food & Drink,422.42,Expense,college_student,3000
06-11-2017,Food & Drink,275.33,Expense,college_student,3000
07-11-2017,Food & Drink,496.17,Expense,college_student,3000
01-11-2017,Food & Drink,374.64,Expense,college_student,3000
02-11-2017,Entertainment,151.87,Expense,college_student,3000
25-11-2017,Entertainment,219.06,Expense,college_student,3000
24-11-2017,Entertainment,164.48,Expense,college_student,3000
20-11-2017,Entertainment,177.05,Expense,college_student,3000
05-11-2017,Travel,203.78,Expense,college_student,3000
28-11-2017,Travel,164.25,Expense,college_student,3000
06-11-2017,Health & Fitness,50.0,Expense,college_student,3000
24-11-2017,Health & Fitness,50.0,Expense,college_student,3000
22-11-2017,Health & Fitness,50.0,Expense,college_student,3000
26-11-2017,Health & Fitness,50.0,Expense,college_student,3000
12-11-2017,Utilities,84.34,Expense,college_student,3000
25-11-2017,Utilities,90.44,Expense,college_student,3000
10-11-2017,Utilities,112.79,Expense,college_student,3000
10-11-2017,Utilities,110.59,Expense,college_student,3000
12-11-2017,Utilities,68.91,Expense,college_student,3000
13-11-2017,Personal Care,88.19,Expense,college_student,3000
04-11-2017,Personal Care,61.73,Expense,college_student,3000
23-11-2017,Rent,80.57,Expense,college_student,3000
20-11-2017,Rent,62.14,Expense,college_student,3000
02-11-2017,Rent,50.0,Expense,college_student,3000
03-11-2017,Rent,63.1,Expense,college_student,3000
10-11-2017,Rent,79.26,Expense,college_student,3000
20-12-2017,Food & Drink,438.29,Expense,college_student,3000
07-12-2017,Food & Drink,331.12,Expense,college_student,3000
17-12-2017,Food & Drink,432.68,Expense,college_student,3000
16-12-2017,Food & Drink,398.05,Expense,college_student,3000
21-12-2017,Entertainment,263.36,Expense,college_student,3000
15-12-2017,Entertainment,163.06,Expense,college_student,3000
21-12-2017,Entertainment,159.4,Expense,college_student,3000
03-12-2017,Travel,148.77,Expense,college_student,3000
12-12-2017,Travel,117.18,Expense,college_student,3000
05-12-2017,Travel,195.97,Expense,college_student,3000
13-12-2017,Health & Fitness,50.0,Expense,college_student,3000
22-12-2017,Health & Fitness,50.0,Expense,college_student,3000
23-12-2017,Health & Fitness,50.0,Expense,college_student,3000
12-12-2017,Health & Fitness,50.0,Expense,college_student,3000
02-12-2017,Health & Fitness,50.0,Expense,college_student,3000
19-12-2017,Utilities,148.84,Expense,college_student,3000
08-12-2017,Utilities,114.83,Expense,college_student,3000
16-12-2017,Utilities,128.32,Expense,college_student,3000
15-12-2017,Personal Care,50.0,Expense,college_student,3000
06-12-2017,Personal Care,50.0,Expense,college_student,3000
03-12-2017,Personal Care,50.0,Expense,college_student,3000
23-12-2017,Personal Care,50.0,Expense,college_student,3000
07-12-2017,Personal Care,50.0,Expense,college_student,3000
16-12-2017,Rent,154.05,Expense,college_student,3000
10-12-2017,Rent,132.7,Expense,college_student,3000
05-01-2018,Food & Drink,537.37,Expense,college_student,3000
28-01-2018,Food & Drink,515.05,Expense,college_student,3000
21-01-2018,Food & Drink,509.03,Expense,college_student,3000
12-01-2018,Entertainment,87.22,Expense,college_student,3000
27-01-2018,Entertainment,65.1,Expense,college_student,3000
22-01-2018,Entertainment,80.54,Expense,college_student,3000
14-01-2018,Entertainment,81.0,Expense,college_student,3000
28-01-2018,Travel,85.13,Expense,college_student,3000
09-01-2018,Travel,104.57,Expense,college_student,3000
20-01-2018,Health & Fitness,60.21,Expense,college_student,3000
23-01-2018,Health & Fitness,63.87,Expense,college_student,3000
12-01-2018,Health & Fitness,89.23,Expense,college_student,3000
27-01-2018,Utilities,278.76,Expense,college_student,3000
15-01-2018,Utilities,217.55,Expense,college_student,3000
08-01-2018,Personal Care,60.97,Expense,college_student,3000
16-01-2018,Personal Care,78.7,Expense,college_student,3000
16-01-2018,Rent,92.62,Expense,college_student,3000
24-01-2018,Rent,134.36,Expense,college_student,3000
26-01-2018,Rent,76.45,Expense,college_student,3000
17-02-2018,Food & Drink,314.24,Expense,college_student,3000
21-02-2018,Food & Drink,354.95,Expense,college_student,3000
21-02-2018,Food & Drink,333.06,Expense,college_student,3000
12-02-2018,Entertainment,107.89,Expense,college_student,3000
09-02-2018,Entertainment,71.19,Expense,college_student,3000
13-02-2018,Entertainment,84.3,Expense,college_student,3000
09-02-2018,Entertainment,77.21,Expense,college_student,3000
20-02-2018,Travel,81.87,Expense,college_student,3000
06-02-2018,Travel,80.37,Expense,college_student,3000
07-02-2018,Travel,60.45,Expense,college_student,3000
12-02-2018,Health & Fitness,50.0,Expense,college_student,3000
24-02-2018,Health & Fitness,50.0,Expense,college_student,3000
01-02-2018,Health & Fitness,50.0,Expense,college_student,3000
19-02-2018,Health & Fitness,50.0,Expense,college_student,3000
22-02-2018,Health & Fitness,50.0,Expense,college_student,3000
08-02-2018,Utilities,149.3,Expense,college_student,3000
03-02-2018,Utilities,108.48,Expense,college_student,3000
18-02-2018,Utilities,120.49,Expense,college_student,3000
14-02-2018,Utilities,128.54,Expense,college_student,3000
01-02-2018,Personal Care,50.0,Expense,college_student,3000
01-02-2018,Personal Care,50.0,Expense,college_student,3000
04-02-2018,Personal Care,50.0,Expense,college_student,3000
17-02-2018,Personal Care,50.66,Expense,college_student,3000
10-02-2018,Rent,123.36,Expense,college_student,3000
09-02-2018,Rent,121.53,Expense,college_student,3000
05-02-2018,Rent,84.09,Expense,college_student,3000
08-03-2018,Food & Drink,292.68,Expense,college_student,3000
22-03-2018,Food & Drink,208.24,Expense,college_student,3000
28-03-2018,Food & Drink,252.78,Expense,college_student,3000
18-03-2018,Food & Drink,298.37,Expense,college_student,3000
10-03-2018,Food & Drink,225.51,Expense,college_student,3000
01-03-2018,Entertainment,241.61,Expense,college_student,3000
22-03-2018,Entertainment,182.7,Expense,college_student,3000
25-03-2018,Travel,86.7,Expense,college_student,3000
14-03-2018,Travel,101.83,Expense,college_student,3000
21-03-2018,Travel,91.73,Expense,college_student,3000
19-03-2018,Travel,68.82,Expense,college_student,3000
26-03-2018,Health & Fitness,50.0,Expense,college_student,3000
14-03-2018,Health & Fitness,50.0,Expense,college_student,3000
28-03-2018,Health & Fitness,55.27,Expense,college_student,3000
05-03-2018,Utilities,183.97,Expense,college_student,3000
14-03-2018,Utilities,220.97,Expense,college_student,3000
09-03-2018,Personal Care,50.0,Expense,college_student,3000
20-03-2018,Personal Care,50.0,Expense,college_student,3000
01-03-2018,Personal Care,50.0,Expense,college_student,3000
28-03-2018,Personal Care,50.0,Expense,college_student,3000
26-03-2018,Personal Care,50.0,Expense,college_student,3000
11-03-2018,Rent,192.42,Expense,college_student,3000
22-03-2018,Rent,132.76,Expense,college_student,3000
18-04-2018,Food & Drink,535.48,Expense,college_student,3000
24-04-2018,Food & Drink,755.28,Expense,college_student,3000
23-04-2018,Entertainment,128.46,Expense,college_student,3000
17-04-2018,Entertainment,134.09,Expense,college_student,3000
11-04-2018,Entertainment,137.31,Expense,college_student,3000
03-04-2018,Entertainment,146.3,Expense,college_student,3000
07-04-2018,Travel,64.33,Expense,college_student,3000
13-04-2018,Travel,88.99,Expense,college_student,3000
07-04-2018,Travel,61.53,Expense,college_student,3000
15-04-2018,Travel,71.47,Expense,college_student,3000
18-04-2018,Health & Fitness,50.0,Expense,college_student,3000
24-04-2018,Health & Fitness,50.0,Expense,college_student,3000
09-04-2018,Health & Fitness,50.0,Expense,college_student,3000
18-04-2018,Health & Fitness,50.0,Expense,college_student,3000
11-04-2018,Health & Fitness,50.0,Expense,college_student,3000
27-04-2018,Utilities,134.13,Expense,college_student,3000
15-04-2018,Utilities,170.38,Expense,college_student,3000
17-04-2018,Utilities,210.97,Expense,college_student,3000
19-04-2018,Personal Care,52.88,Expense,college_student,3000
03-04-2018,Personal Care,50.0,Expense,college_student,3000
07-04-2018,Personal Care,50.0,Expense,college_student,3000
21-04-2018,Personal Care,50.0,Expense,college_student,3000
01-04-2018,Rent,64.36,Expense,college_student,3000
04-04-2018,Rent,52.68,Expense,college_student,3000
01-04-2018,Rent,84.73,Expense,college_student,3000
10-04-2018,Rent,74.45,Expense,college_student,3000
16-04-2018,Rent,53.94,Expense,college_student,3000
18-05-2018,Food & Drink,518.01,Expense,college_student,3000
28-05-2018,Food & Drink,553.74,Expense,college_student,3000
04-05-2018,Entertainment,159.91,Expense,college_student,3000
14-05-2018,Entertainment,115.79,Expense,college_student,3000
01-05-2018,Entertainment,145.22,Expense,college_student,3000
26-05-2018,Entertainment,109.08,Expense,college_student,3000
22-05-2018,Travel,69.88,Expense,college_student,3000
13-05-2018,Travel,73.3,Expense,college_student,3000
26-05-2018,Travel,73.92,Expense,college_student,3000
27-05-2018,Travel,74.01,Expense,college_student,3000
11-05-2018,Health & Fitness,53.87,Expense,college_student,3000
06-05-2018,Health & Fitness,50.0,Expense,college_student,3000
20-05-2018,Health & Fitness,50.0,Expense,college_student,3000
28-05-2018,Health & Fitness,50.0,Expense,college_student,3000
08-05-2018,Utilities,300.99,Expense,college_student,3000
23-05-2018,Utilities,228.18,Expense,college_student,3000
09-05-2018,Personal Care,68.65,Expense,college_student,3000
23-05-2018,Personal Care,65.68,Expense,college_student,3000
06-05-2018,Personal Care,64.71,Expense,college_student,3000
06-05-2018,Rent,118.0,Expense,college_student,3000
23-05-2018,Rent,86.96,Expense,college_student,3000
03-05-2018,Rent,101.17,Expense,college_student,3000
24-06-2018,Food & Drink,435.19,Expense,college_student,3000
06-06-2018,Food & Drink,321.23,Expense,college_student,3000
11-06-2018,Food & Drink,435.7,Expense,college_student,3000
19-06-2018,Food & Drink,342.08,Expense,college_student,3000
09-06-2018,Entertainment,222.64,Expense,college_student,3000
13-06-2018,Entertainment,316.63,Expense,college_student,3000
03-06-2018,Travel,113.48,Expense,college_student,3000
12-06-2018,Travel,147.76,Expense,college_student,3000
27-06-2018,Travel,163.16,Expense,college_student,3000
22-06-2018,Travel,112.84,Expense,college_student,3000
20-06-2018,Health & Fitness,50.0,Expense,college_student,3000
11-06-2018,Health & Fitness,50.0,Expense,college_student,3000
01-06-2018,Health & Fitness,58.08,Expense,college_student,3000
07-06-2018,Utilities,174.66,Expense,college_student,3000
05-06-2018,Utilities,126.72,Expense,college_student,3000
11-06-2018,Utilities,167.04,Expense,college_student,3000
18-06-2018,Personal Care,50.0,Expense,college_student,3000
24-06-2018,Personal Care,50.0,Expense,college_student,3000
20-06-2018,Personal Care,50.0,Expense,college_student,3000
18-06-2018,Personal Care,50.0,Expense,college_student,3000
23-06-2018,Personal Care,50.0,Expense,college_student,3000
09-06-2018,Rent,75.05,Expense,college_student,3000
02-06-2018,Rent,71.88,Expense,college_student,3000
01-06-2018,Rent,66.06,Expense,college_student,3000
27-06-2018,Rent,63.93,Expense,college_student,3000
16-06-2018,Rent,80.0,Expense,college_student,3000
11-07-2018,Food & Drink,542.84,Expense,college_student,3000
07-07-2018,Food & Drink,692.07,Expense,college_student,3000
03-07-2018,Entertainment,92.11,Expense,college_student,3000
13-07-2018,Entertainment,103.55,Expense,college_student,3000
21-07-2018,Entertainment,123.55,Expense,college_student,3000
27-07-2018,Entertainment,90.99,Expense,college_student,3000
26-07-2018,Entertainment,125.43,Expense,college_student,3000
21-07-2018,Travel,147.45,Expense,college_student,3000
12-07-2018,Travel,109.72,Expense,college_student,3000
27-07-2018,Travel,157.96,Expense,college_student,3000
12-07-2018,Travel,89.14,Expense,college_student,3000
15-07-2018,Health & Fitness,50.0,Expense,college_student,3000
26-07-2018,Health & Fitness,50.0,Expense,college_student,3000
17-07-2018,Health & Fitness,50.0,Expense,college_student,3000
22-07-2018,Health & Fitness,50.0,Expense,college_student,3000
06-07-2018,Health & Fitness,50.0,Expense,college_student,3000
18-07-2018,Utilities,94.41,Expense,college_student,3000
09-07-2018,Utilities,81.42,Expense,college_student,3000
12-07-2018,Utilities,91.85,Expense,college_student,3000
05-07-2018,Utilities,75.93,Expense,college_student,3000
17-07-2018,Utilities,79.49,Expense,college_student,3000
15-07-2018,Personal Care,67.28,Expense,college_student,3000
08-07-2018,Personal Care,108.36,Expense,college_student,3000
27-07-2018,Rent,85.74,Expense,college_student,3000
26-07-2018,Rent,103.3,Expense,college_student,3000
11-07-2018,Rent,79.55,Expense,college_student,3000
23-08-2018,Food & Drink,310.97,Expense,college_student,3000
17-08-2018,Food & Drink,191.35,Expense,college_student,3000
14-08-2018,Food & Drink,286.62,Expense,college_student,3000
12-08-2018,Food & Drink,196.2,Expense,college_student,3000
16-08-2018,Food & Drink,211.97,Expense,college_student,3000
13-08-2018,Entertainment,139.5,Expense,college_student,3000
11-08-2018,Entertainment,120.25,Expense,college_student,3000
